Classifier,Accuracy,Precision,Recall,F1
Random Forest,0.7756376887038001,0.7335473914112929,0.7646351526579748,0.74191943368989
Gradient Boosting,0.7751171264966163,0.734987902186954,0.7583302524902509,0.7407319803202707
CatBoost,0.7641853201457575,0.7198938992250138,0.7381728946097582,0.7247200305725491
SVM,0.7475273295158772,0.7118878019943656,0.7611008712345834,0.7172862019798241
Logistic Regression,0.7256637168141593,0.6856267446389576,0.7037621294096176,0.6896360578843681
Naive Bayes,0.69807391983342,0.6893344702068832,0.7817819604389348,0.6859833149064444
Decision Tree,0.7084851639770953,0.6646299429470784,0.665352256285952,0.6642679838396831
KNN,0.6814159292035398,0.6339539514626407,0.6662142683403284,0.6422530360441265
AdaBoost,0.6262363352420615,0.590311099259358,0.5588982356329271,0.5027524998912946
